TimeStamp,Distance Over Ground(m),Lat (deg),Lon (deg)
2022-03-18 10:06:00,135,26.70956,-18.8232
2022-03-18 10:05:00,154,26.83139000000001,-18.78988
2022-03-18 10:01:00,151,26.7107,-18.82372
2022-03-18 10:00:00,147,26.832690000000003,-18.78938
2022-03-18 09:56:00,143,26.71182,-18.82435
2022-03-18 09:55:00,151,26.83395,-18.78886
2022-03-18 09:51:00,147,26.71299,-18.82489
2022-03-18 09:50:00,151,26.8352,-18.78823
2022-03-18 09:46:00,149,26.714240000000004,-18.82544
2022-03-18 09:45:00,155,26.83647,-18.78792
2022-03-18 09:41:00,146,26.71543,-18.82611
2022-03-18 09:40:00,135,26.83776,-18.78753
2022-03-18 09:36:00,131,26.7166,-18.82667
2022-03-18 09:35:00,154,26.83897,-18.78728
2022-03-18 09:31:00,129,26.71768,-18.82722
2022-03-18 09:30:00,162,26.8403,-18.78692
2022-03-18 09:26:00,133,26.71869,-18.82782000000001
2022-03-18 09:25:00,156,26.84167,-18.78647
2022-03-18 09:21:00,143,26.7198,-18.82833
2022-03-18 09:20:00,151,26.84305,-18.78616
2022-03-18 09:16:00,135,26.72096,-18.82884
2022-03-18 09:15:00,164,26.8444,-18.78597
2022-03-18 09:11:00,132,26.72213,-18.82942
2022-03-18 09:10:00,162,26.8458,-18.78566
2022-03-18 09:06:00,140,26.72321,-18.8298
2022-03-18 09:05:00,164,26.84723,-18.78527
2022-03-18 09:01:00,140,26.72435,-18.83041
2022-03-18 09:00:00,156,26.84867,-18.78499
2022-03-18 08:56:00,142,26.72553,-18.83087
2022-03-18 08:55:00,159,26.85006,-18.78486
2022-03-18 08:51:00,138,26.72676,-18.83128
2022-03-18 08:50:00,172,26.85147000000001,-18.78465
2022-03-18 08:46:00,142,26.72796,-18.83154
2022-03-18 08:45:00,164,26.85297000000001,-18.78445
2022-03-18 08:41:00,134,26.72922,-18.8319
2022-03-18 08:40:00,171,26.85438,-18.78432
2022-03-18 08:36:00,141,26.73041,-18.83223
2022-03-18 08:35:00,162,26.8559,-18.78417
2022-03-18 08:31:00,139,26.73164,-18.83258
2022-03-18 08:30:00,176,26.85736,-18.78393
2022-03-18 08:26:00,135,26.73281,-18.83289
2022-03-18 08:25:00,148,26.85886,-18.78375
2022-03-18 08:21:00,138,26.73401,-18.83325
2022-03-18 08:20:00,158,26.86021,-18.78363
2022-03-18 08:16:00,129,26.73521,-18.8335
2022-03-18 08:15:00,148,26.861590000000003,-18.7837
2022-03-18 08:11:00,146,26.73634,-18.8337
2022-03-18 08:10:00,154,26.86295,-18.78363
2022-03-18 08:06:00,134,26.73753,-18.8339
2022-03-18 08:05:00,153,26.8643,-18.78377
2022-03-18 08:01:00,132,26.73866,-18.83425
2022-03-18 08:00:00,139,26.86567,-18.78373
2022-03-18 07:56:00,132,26.73982,-18.83458
2022-03-18 07:55:00,146,26.86689,-18.78391
2022-03-18 07:51:00,139,26.74101,-18.834670000000006
2022-03-18 07:50:00,150,26.86819,-18.78404
2022-03-18 07:46:00,139,26.74222,-18.83489
2022-03-18 07:45:00,150,26.86949000000001,-18.78389
2022-03-18 07:41:00,138,26.7434,-18.83528
2022-03-18 07:40:00,149,26.87088,-18.78373
2022-03-18 07:36:00,131,26.74462,-18.83548
2022-03-18 07:35:00,149,26.87215,-18.78363
2022-03-18 07:31:00,136,26.74582,-18.83557
2022-03-18 07:30:00,151,26.8735,-18.78341
2022-03-18 07:26:00,125,26.74696,-18.83588
2022-03-18 07:25:00,155,26.87482,-18.78324
2022-03-18 07:21:00,122,26.74805,-18.83613
2022-03-18 07:20:00,150,26.87615,-18.78298
2022-03-18 07:16:00,112,26.74916,-18.83638
2022-03-18 07:15:00,150,26.87747,-18.78279
2022-03-18 07:11:00,115,26.75014,-18.83644
2022-03-18 07:10:00,143,26.87882,-18.78276
2022-03-18 07:06:00,111,26.75115,-18.83656
2022-03-18 07:05:00,147,26.88012,-18.78269
2022-03-18 07:01:00,110,26.7521,-18.83681
2022-03-18 07:00:00,141,26.881390000000003,-18.78246
2022-03-18 06:56:00,111,26.7531,-18.83706
2022-03-18 06:55:00,147,26.8826,-18.78229
2022-03-18 06:51:00,116,26.75407,-18.83727
2022-03-18 06:50:00,137,26.88392,-18.78214
2022-03-18 06:46:00,112,26.75506,-18.83752
2022-03-18 06:45:00,138,26.88519,-18.78199
2022-03-18 06:41:00,114,26.75602,-18.83777000000001
2022-03-18 06:40:00,151,26.88641,-18.78178
2022-03-18 06:36:00,126,26.757040000000003,-18.83807
2022-03-18 06:35:00,139,26.88764,-18.78146
2022-03-18 06:31:00,100,26.75813,-18.8383
2022-03-18 06:30:00,156,26.88887,-18.7811
2022-03-18 06:26:00,104,26.75904,-18.83844
2022-03-18 06:25:00,148,26.89022000000001,-18.78074
2022-03-18 06:21:00,102,26.75997000000001,-18.83856
2022-03-18 06:20:00,143,26.89148,-18.78027
2022-03-18 06:16:00,98,26.76084,-18.83878
2022-03-18 06:15:00,143,26.892740000000003,-18.77997
2022-03-18 06:11:00,106,26.76167,-18.83906
2022-03-18 06:10:00,138,26.8939,-18.77979
2022-03-18 06:06:00,103,26.76257,-18.83943
2022-03-18 06:05:00,135,26.89512,-18.77956
2022-03-18 06:01:00,112,26.76347,-18.83964
2022-03-18 06:00:00,131,26.89634,-18.77934
2022-03-18 05:56:00,115,26.76446,-18.83982
2022-03-18 05:55:00,135,26.89748,-18.77927
2022-03-18 05:51:00,105,26.765490000000003,-18.83993
2022-03-18 05:50:00,144,26.89871,-18.7792
2022-03-18 05:46:00,103,26.76639,-18.84014
2022-03-18 05:45:00,139,26.8999,-18.77906
2022-03-18 05:41:00,108,26.76728,-18.84031
2022-03-18 05:40:00,139,26.90107,-18.77871
2022-03-18 05:36:00,116,26.76823,-18.84046
2022-03-18 05:35:00,135,26.90231,-18.77837
2022-03-18 05:31:00,121,26.76927,-18.84041
2022-03-18 05:30:00,151,26.90345,-18.77805
2022-03-18 05:26:00,117,26.77034,-18.84028
