TimeStamp,Pressure,Temperature,Conductivity,Latitude(deg),Longitude(deg)
2022-03-17 23:41:00,0.26,19.5231,4.96827,26.9881,-18.73063
2022-03-17 23:32:00,0.27,19.5325,4.96902,26.99025,-18.72929
2022-03-17 23:31:00,0.25,19.5248,4.96835,26.99047,-18.72916
2022-03-17 23:22:00,0.26,19.5416,4.97066,26.9925,-18.72785
2022-03-17 23:21:00,0.24,19.5375,4.97011,26.99272,-18.72774
2022-03-17 23:12:00,0.24,19.5462,4.97168,26.99476,-18.72643
2022-03-17 23:11:00,0.2799999999999989,19.54,4.97123,26.99491,-18.72642
2022-03-17 23:02:00,0.24,19.5605,4.97374,26.99696,-18.72593
2022-03-17 23:01:00,0.25,19.5508,4.97271,26.99706,-18.72588
2022-03-17 22:52:00,0.25,19.5477,4.97244,26.99927000000001,-18.72516
2022-03-17 22:51:00,0.27,19.5712,4.97496,26.99948,-18.72507
2022-03-17 22:42:00,0.220000000000001,19.5694,4.97527,27.00174,-18.72426
2022-03-17 22:41:00,0.25,19.5813,4.97634,27.00199000000001,-18.72416
2022-03-17 22:32:00,0.26,19.5798,4.976,27.00438,-18.72323
2022-03-17 22:31:00,0.2799999999999989,19.5858,4.976380000000002,27.00463,-18.72318
2022-03-17 22:22:00,0.2799999999999989,19.5903,4.976369999999998,27.00675,-18.72311
2022-03-17 22:21:00,0.220000000000001,19.5945,4.97697,27.00696,-18.72309
2022-03-17 22:12:00,0.24,19.6004,4.97893,27.00901,-18.72306
2022-03-17 22:11:00,0.26,19.5962,4.97856,27.00924,-18.72299
2022-03-17 22:02:00,0.310000000000001,19.6045,4.97952,27.0115,-18.72245
2022-03-17 22:01:00,0.24,19.5991,4.9788,27.01176,-18.72234
2022-03-17 21:52:00,0.2799999999999989,19.6101,4.9798800000000005,27.01397,-18.7219
2022-03-17 21:51:00,0.26,19.6114,4.98032,27.01413,-18.721870000000006
2022-03-17 21:42:00,0.2799999999999989,19.6083,4.97954,27.01628,-18.72129
2022-03-17 21:41:00,0.2799999999999989,19.6132,4.98016,27.0165,-18.72121
2022-03-17 21:32:00,0.26,19.6165,4.98035,27.01871,-18.72073
2022-03-17 21:31:00,0.26,19.6268,4.9812400000000014,27.01896,-18.72073
2022-03-17 21:22:00,0.24,19.6199,4.9810300000000005,27.021290000000004,-18.71998
2022-03-17 21:21:00,0.2799999999999989,19.6103,4.98016,27.02163,-18.71989
2022-03-17 21:12:00,0.300000000000001,19.6318,4.98307,27.02381,-18.71929
