TimeStamp,Oxygen,Salinity (PSU),DO,Latitude(deg),Longitude(deg)
2022-03-18 01:41:00,3700.2,36.8674,105.23519219527277,26.95929000000001,-18.75103
2022-03-18 01:32:00,3691.1,36.8665,104.98883078980917,26.96138,-18.74936
2022-03-18 01:31:00,3719.6,36.8708,105.94906076324897,26.96164000000001,-18.74911
2022-03-18 01:22:00,3684.4,36.8679,105.1982299589182,26.96388,-18.74746
2022-03-18 01:21:00,3715.3,36.867,106.23130952114356,26.96406,-18.74736
2022-03-18 01:12:00,3677.7,36.8725,104.42378338978912,26.96633,-18.74588
2022-03-18 01:11:00,3707.8,36.871,105.63432883165632,26.96652000000001,-18.74575
2022-03-18 01:02:00,3774.8,36.871,107.25496309837,26.96876,-18.74415
2022-03-18 01:01:00,3773.6,36.871,107.22176719508556,26.96891,-18.74398
2022-03-18 00:52:00,3700.7,36.8693,105.25063146018502,26.97118,-18.74245
2022-03-18 00:51:00,3677.1,36.869,105.58746403835202,26.97147,-18.74226
2022-03-18 00:42:00,3732.0,36.8693,106.6820062462265,26.97367,-18.74053
2022-03-18 00:41:00,3661.7,36.8721,103.99057297985196,26.97387,-18.7404
2022-03-18 00:32:00,3770.4,36.8694,106.94390580416281,26.97602,-18.73881
2022-03-18 00:31:00,3765.4,36.8704,106.60800506908525,26.97624,-18.73865
2022-03-18 00:22:00,3786.9,36.8658,108.57170129453317,26.9784,-18.73708
2022-03-18 00:21:00,3772.7,36.8683,107.01073315193811,26.97865,-18.73692
2022-03-18 00:12:00,3736.5,36.8718,106.01861560255806,26.98077,-18.73533
2022-03-18 00:11:00,3733.8,36.8682,106.34731088212607,26.981,-18.73514
2022-03-18 00:02:00,3753.7,36.8666,106.50276813462592,26.98306,-18.73361
2022-03-18 00:01:00,3786.5,36.8676,108.36635946475498,26.98324,-18.73351
2022-03-17 23:52:00,3773.3,36.8657,107.03552133201325,26.98559,-18.7323
2022-03-17 23:51:00,3780.6,36.8653,108.2093900801133,26.98578,-18.73224
2022-03-17 23:42:00,3737.8,36.8682,105.484651465534,26.98787,-18.73076
2022-03-17 23:41:00,3686.2,36.869,105.05701985988229,26.9881,-18.73063
2022-03-17 23:32:00,3672.7,36.867,104.89403159804161,26.99025,-18.72929
2022-03-17 23:31:00,3721.8,36.8682,105.82998513190228,26.99047,-18.72916
2022-03-17 23:22:00,3770.9,36.8726,107.34916702488027,26.9925,-18.72785
2022-03-17 23:21:00,3797.9,36.8717,107.69211621107789,26.99272,-18.72774
2022-03-17 23:12:00,3798.1,36.8771,107.68454464382502,26.99476,-18.72643
2022-03-17 23:11:00,3790.9,36.8788,108.26467484191458,26.99491,-18.72642
2022-03-17 23:02:00,3733.8,36.8816,105.93199342848467,26.99696,-18.72593
2022-03-17 23:01:00,3737.8,36.8816,106.2336285931196,26.99706,-18.72588
2022-03-17 22:52:00,3756.4,36.8821,106.73578935425316,26.99927000000001,-18.72516
2022-03-17 22:51:00,3731.4,36.8823,106.45470414901456,26.99948,-18.72507
2022-03-17 22:42:00,3746.4,36.8865,105.87088143580988,27.00174,-18.72426
2022-03-17 22:41:00,3693.9,36.8849,105.0419974865731,27.00199000000001,-18.72416
2022-03-17 22:32:00,3715.7,36.8834,105.8325451228249,27.00438,-18.72323
2022-03-17 22:31:00,3742.9,36.8812,106.96933358862508,27.00463,-18.72318
2022-03-17 22:22:00,3710.7,36.8772,106.1084332629592,27.00675,-18.72311
2022-03-17 22:21:00,3745.1,36.8785,105.86318502691272,27.00696,-18.72309
2022-03-17 22:12:00,3744.9,36.8896,106.22051255100624,27.00901,-18.72306
2022-03-17 22:11:00,3712.0,36.8902,105.71794166695761,27.00924,-18.72299
2022-03-17 22:02:00,3765.9,36.8909,108.15948028390473,27.0115,-18.72245
2022-03-17 22:01:00,3733.6,36.8897,105.91360679606503,27.01176,-18.72234
2022-03-17 21:52:00,3711.6,36.8889,106.10646034468903,27.01397,-18.7219
2022-03-17 21:51:00,3747.2,36.8914,106.67277252990128,27.01413,-18.721870000000006
2022-03-17 21:42:00,3699.5,36.8877,105.78120686881532,27.01628,-18.72129
2022-03-17 21:41:00,3753.0,36.8885,107.23072035718447,27.0165,-18.72121
2022-03-17 21:32:00,3695.9,36.8872,105.2949374657876,27.01871,-18.72073
2022-03-17 21:31:00,3727.2,36.8855,106.15080522601022,27.01896,-18.72073
2022-03-17 21:22:00,3758.7,36.8899,106.5984531202958,27.021290000000004,-18.71998
2022-03-17 21:21:00,3760.9,36.8911,107.43688181519117,27.02163,-18.71989
2022-03-17 21:12:00,3708.1,36.8963,106.39013220030196,27.02381,-18.71929
2022-03-17 21:11:00,3770.2,36.8945,107.2941631084579,27.02406,-18.71922
2022-03-17 21:02:00,3731.3,36.897,106.43169393736619,27.02626,-18.71868
2022-03-17 21:01:00,3749.5,36.8975,106.33532690453282,27.02652,-18.71861
2022-03-17 20:52:00,3714.2,36.8931,106.1783878996777,27.02873,-18.71801
2022-03-17 20:51:00,3725.1,36.8966,105.68050610772808,27.02902000000001,-18.71786
2022-03-17 20:42:00,3752.3,36.8904,106.62918427287318,27.03117,-18.71706
2022-03-17 20:41:00,3766.0,36.8986,107.37001892385076,27.03145,-18.71696
2022-03-17 20:32:00,3748.8,36.9,107.49230593495939,27.0335,-18.71633
2022-03-17 20:31:00,3766.3,36.8995,108.36100572809929,27.03372,-18.71632
2022-03-17 20:22:00,3732.5,36.8994,106.85216728844915,27.03592,-18.71595
2022-03-17 20:21:00,3773.2,36.8982,107.567498826978,27.0361,-18.71591
2022-03-17 20:12:00,3769.7,36.8914,108.27387377176797,27.03825,-18.71531
2022-03-17 20:11:00,3745.1,36.8963,106.80906478022457,27.03846,-18.71527
2022-03-17 20:02:00,3708.4,36.8859,104.86111758721898,27.04059,-18.71494
2022-03-17 20:01:00,3702.5,36.8846,105.68660566554605,27.04075,-18.71489
2022-03-17 19:52:00,3698.2,36.8917,105.74427850393447,27.0431,-18.71415
2022-03-17 19:51:00,3740.8,36.8917,106.31205178495433,27.04332,-18.71403
2022-03-17 19:42:00,3745.6,36.8884,106.25229509113977,27.04568,-18.71271
2022-03-17 19:41:00,3725.2,36.8897,106.2835669594765,27.04598,-18.71254
2022-03-17 19:32:00,3745.4,36.8846,106.84677669915901,27.04826,-18.7115
2022-03-17 19:31:00,3721.9,36.8879,106.79234430271174,27.04852,-18.71141
2022-03-17 19:22:00,3728.4,36.8843,106.1949729009416,27.050690000000003,-18.71023
2022-03-17 19:21:00,3734.9,36.8863,107.15485526328206,27.05088,-18.71015
2022-03-17 19:12:00,3767.7,36.8862,106.86032321134732,27.05299,-18.70928
2022-03-17 19:11:00,3697.9,36.8687,105.80184175646008,27.05312,-18.7092
2022-03-17 19:02:00,3739.2,36.8813,106.10148057791888,27.05507,-18.70829
2022-03-17 19:01:00,3753.5,36.8794,106.1028421879532,27.05526,-18.70823
2022-03-17 18:52:00,3706.5,36.8761,105.81637890558655,27.05723,-18.70721
2022-03-17 18:51:00,3719.1,36.8765,104.78340666386453,27.0574,-18.70712
2022-03-17 18:42:00,3675.7,36.8741,104.99214492717653,27.05934,-18.70605
2022-03-17 18:41:00,3636.3,36.8754,104.11438775098844,27.0595,-18.70596
2022-03-17 18:32:00,3733.9,36.8748,106.37809828531137,27.0613,-18.7047
2022-03-17 18:31:00,3709.9,36.8767,105.72120566661876,27.06153,-18.70465
2022-03-17 18:22:00,3762.6,36.8689,107.1692002387161,27.06332,-18.70364
2022-03-17 18:21:00,3762.4,36.8736,107.74147731415431,27.06349,-18.70356
2022-03-17 18:12:00,3767.3,36.8674,106.71132132475303,27.0652,-18.70254
2022-03-17 18:11:00,3782.1,36.8682,108.28980097677675,27.06533,-18.70245
2022-03-17 18:02:00,3742.4,36.8652,106.82175167167952,27.066990000000004,-18.70093
2022-03-17 18:01:00,3718.9,36.8643,106.18702695357568,27.06717,-18.70078
2022-03-17 17:52:00,3689.3,36.856,105.01014070978945,27.06874,-18.69951
2022-03-17 17:51:00,3657.8,36.855,104.1587059150726,27.06891,-18.69934
2022-03-17 17:42:00,3698.9,36.8543,105.07798930742952,27.070490000000003,-18.69819
2022-03-17 17:41:00,3684.1,36.8536,104.87188566707187,27.07067,-18.69812
2022-03-17 17:32:00,3691.0,36.8536,105.25044196644018,27.07227,-18.69721
2022-03-17 17:31:00,3679.5,36.8546,104.93745541645276,27.07235,-18.69719
2022-03-17 17:22:00,3714.1,36.847,106.87882299408366,27.07397000000001,-18.69641
2022-03-17 17:21:00,3688.6,36.8475,104.81160470045458,27.074040000000004,-18.69634
2022-03-17 17:12:00,3839.9,36.8489,108.71870946139234,27.07551,-18.69549
2022-03-17 17:11:00,3827.8,36.8504,108.97261607281332,27.07569,-18.69537
2022-03-17 17:02:00,3850.5,36.8525,109.97150398833185,27.0771,-18.69427
2022-03-17 17:01:00,3838.5,36.8525,109.6456575746557,27.07727,-18.69415
2022-03-17 16:52:00,3838.7,36.8544,109.84165652600505,27.07863,-18.69318
2022-03-17 16:51:00,3821.0,36.8553,108.37663042198001,27.07877,-18.69307
2022-03-17 16:42:00,3819.5,36.8451,108.76416247790344,27.08007000000001,-18.69216
2022-03-17 16:41:00,3832.7,36.8541,108.50836525948266,27.08029,-18.69199
2022-03-17 16:32:00,3822.7,36.8556,108.2324584763238,27.0818,-18.69033
2022-03-17 16:31:00,3831.7,36.8568,108.6695397998741,27.0819,-18.69018
2022-03-17 16:22:00,3825.6,36.8567,108.89881000561093,27.08342,-18.6889
2022-03-17 16:21:00,3829.1,36.8556,108.80270915627476,27.08359,-18.68873
2022-03-17 16:12:00,3837.9,36.8566,109.03135347400466,27.08501,-18.68707
2022-03-17 16:11:00,3823.7,36.856,108.84857941133058,27.08513,-18.68698
2022-03-17 16:02:00,3833.7,36.8582,108.327586985333,27.08648,-18.68508
